frame,timestamp,zone_0_occupancy,zone_1_occupancy,zone_2_occupancy,zone_3_occupancy
227,9.08,9,10,7,4
228,9.12,9,10,7,4
229,9.16,9,10,7,4
230,9.2,9,10,7,4
231,9.24,9,10,7,4
232,9.28,9,10,7,3
233,9.32,8,11,7,3
234,9.36,8,11,7,3
235,9.4,8,11,7,3
236,9.44,8,11,7,3
237,9.48,8,11,7,3
238,9.52,8,10,7,4
239,9.56,8,10,7,4
240,9.6,8,10,7,4
241,9.64,8,11,7,4
242,9.68,7,11,7,4
243,9.72,8,10,7,5
244,9.76,8,10,7,5
245,9.8,8,10,7,5
246,9.84,8,10,6,5
247,9.88,8,10,6,5
248,9.92,8,10,6,5
249,9.96,8,10,6,5
250,10.0,8,10,6,5
251,10.04,8,10,7,5
252,10.08,8,10,7,5
253,10.12,8,10,7,5
254,10.16,8,10,7,5
255,10.2,8,10,7,5
256,10.24,8,10,7,6
257,10.28,8,10,7,6
258,10.32,6,11,8,6
259,10.36,6,11,8,6
260,10.4,6,11,8,6
261,10.44,6,11,8,6
262,10.48,6,11,8,6
263,10.52,6,11,8,6
264,10.56,6,11,8,6
265,10.6,6,11,8,6
266,10.64,6,11,8,6
267,10.68,6,11,8,6
268,10.72,6,11,8,6
269,10.76,5,11,8,6
270,10.8,6,10,8,6
271,10.84,6,10,7,6
272,10.88,6,10,7,6
273,10.92,6,10,7,6
274,10.96,7,9,7,6
275,11.0,7,9,6,5
276,11.04,7,9,6,5
277,11.08,7,10,6,5
278,11.12,7,10,6,4
279,11.16,7,10,6,4
280,11.2,7,11,6,5
281,11.24,7,11,6,6
282,11.28,7,11,6,5
283,11.32,7,11,6,5
284,11.36,6,12,6,5
285,11.4,5,12,6,6
286,11.44,5,13,5,6
287,11.48,5,13,5,6
288,11.52,5,13,5,6
289,11.56,5,13,5,6
290,11.6,5,13,6,6
291,11.64,5,13,5,7
292,11.68,5,13,5,8
293,11.72,6,12,5,8
294,11.76,6,12,5,8
295,11.8,6,12,5,8
296,11.84,6,12,5,8
297,11.88,6,12,5,8
298,11.92,6,12,5,8
299,11.96,6,12,5,8
300,12.0,6,12,5,8
301,12.04,6,12,5,8
302,12.08,6,12,5,8
303,12.12,6,12,5,7
304,12.16,6,12,5,7
305,12.2,6,12,6,6
306,12.24,6,12,6,6
307,12.28,6,12,6,5
308,12.32,6,12,6,5
309,12.36,5,13,6,6
310,12.4,5,13,6,6
311,12.44,5,14,6,7
312,12.48,5,14,6,5
313,12.52,5,14,6,6
314,12.56,5,14,6,6
315,12.6,5,14,6,6
316,12.64,5,14,5,7
317,12.68,5,14,5,7
318,12.72,5,14,5,7
319,12.76,5,14,5,7
320,12.8,5,14,5,7
321,12.84,5,14,5,7
322,12.88,5,14,5,7
323,12.92,5,14,5,7
324,12.96,5,14,5,7
325,13.0,5,14,5,8
326,13.04,5,14,5,7
327,13.08,5,14,5,7
328,13.12,5,14,5,7
329,13.16,5,14,5,7
330,13.2,5,13,5,7
331,13.24,5,13,5,7
332,13.28,5,13,5,7
333,13.32,5,14,5,7
334,13.36,5,14,5,7
335,13.4,5,14,5,7
336,13.44,5,14,5,8
337,13.48,6,14,4,8
338,13.52,6,14,4,8
339,13.56,6,14,4,8
340,13.6,7,14,4,8
